#time, dark_ADC, dark_V, active_ADC, active_V, temp_ADC, temp_F, batt_ADC, batt_V, diff_ADC, diff_V, NTU
2022-04-06 16:42:54, 0, 0.000, 1615, 1.301, 835, 67.3, 4095, 3.300, 1615, 1.301, 1408.190
2022-04-06 16:43:09, 0, 0.000, 0, 0.000, 834, 67.2, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:43:24, 0, 0.000, 0, 0.000, 834, 67.2, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:43:37, 0, 0.000, 0, 0.000, 830, 66.9, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:43:52, 0, 0.000, 0, 0.000, 829, 66.8, 4076, 3.285, 0, 0.000, 34.306, *
2022-04-06 16:44:07, 0, 0.000, 0, 0.000, 836, 67.4, 4084, 3.291, 0, 0.000, 34.306, *
2022-04-06 16:44:22, 0, 0.000, 0, 0.000, 832, 67.0, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:44:37, 0, 0.000, 0, 0.000, 833, 67.1, 4080, 3.288, 0, 0.000, 34.306, *
2022-04-06 16:44:52, 0, 0.000, 0, 0.000, 833, 67.1, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:45:07, 0, 0.000, 0, 0.000, 833, 67.1, 4052, 3.265, 0, 0.000, 34.306, *
2022-04-06 16:45:22, 0, 0.000, 0, 0.000, 837, 67.5, 4065, 3.276, 0, 0.000, 34.306, *
2022-04-06 16:45:37, 0, 0.000, 1628, 1.312, 835, 67.3, 4003, 3.226, 1628, 1.312, 1419.249
2022-04-06 16:45:52, 0, 0.000, 2, 0.002, 839, 67.6, 4084, 3.291, 2, 0.002, 36.008, *
2022-04-06 16:46:07, 0, 0.000, 10, 0.008, 840, 67.7, 4065, 3.276, 10, 0.008, 42.813, *
2022-04-06 16:46:22, 0, 0.000, 664, 0.535, 843, 67.9, 4079, 3.287, 664, 0.535, 599.172
2022-04-06 16:46:37, 0, 0.000, 1585, 1.277, 845, 68.1, 4072, 3.281, 1585, 1.277, 1382.669
2022-04-06 16:46:52, 0, 0.000, 132, 0.106, 847, 68.3, 3975, 3.203, 132, 0.106, 146.599
2022-04-06 16:47:07, 0, 0.000, 127, 0.102, 850, 68.5, 4012, 3.233, 127, 0.102, 142.345
2022-04-06 16:47:22, 0, 0.000, 0, 0.000, 853, 68.7, 3982, 3.209, 0, 0.000, 34.306, *
2022-04-06 16:47:37, 0, 0.000, 286, 0.230, 854, 68.8, 4061, 3.273, 286, 0.230, 277.607
2022-04-06 16:47:52, 0, 0.000, 289, 0.233, 858, 69.1, 4063, 3.274, 289, 0.233, 280.159
2022-04-06 16:48:07, 0, 0.000, 94, 0.076, 862, 69.5, 4055, 3.268, 94, 0.076, 114.272
2022-04-06 16:48:22, 0, 0.000, 0, 0.000, 864, 69.6, 4067, 3.277, 0, 0.000, 34.306, *
2022-04-06 16:48:37, 0, 0.000, 0, 0.000, 865, 69.7, 3996, 3.220, 0, 0.000, 34.306, *
2022-04-06 16:48:52, 0, 0.000, 69, 0.056, 866, 69.8, 4059, 3.271, 69, 0.056, 93.005, *
2022-04-06 16:49:07, 0, 0.000, 66, 0.053, 869, 70.0, 4056, 3.269, 66, 0.053, 90.453, *
2022-04-06 16:49:22, 0, 0.000, 68, 0.055, 871, 70.2, 4047, 3.261, 68, 0.055, 92.154, *
2022-04-06 16:49:37, 0, 0.000, 73, 0.059, 873, 70.4, 4050, 3.264, 73, 0.059, 96.407, *
2022-04-06 16:49:52, 0, 0.000, 69, 0.056, 876, 70.6, 4049, 3.263, 69, 0.056, 93.005, *
2022-04-06 16:50:07, 0, 0.000, 66, 0.053, 876, 70.6, 4048, 3.262, 66, 0.053, 90.453, *
2022-04-06 16:50:22, 0, 0.000, 0, 0.000, 877, 70.7, 4049, 3.263, 0, 0.000, 34.306, *
2022-04-06 16:50:37, 0, 0.000, 0, 0.000, 879, 70.8, 4046, 3.261, 0, 0.000, 34.306, *
2022-04-06 16:50:52, 0, 0.000, 0, 0.000, 879, 70.8, 4051, 3.265, 0, 0.000, 34.306, *
2022-04-06 16:51:09, 0, 0.000, 0, 0.000, 882, 71.1, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:51:24, 0, 0.000, 0, 0.000, 883, 71.2, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:51:37, 0, 0.000, 0, 0.000, 884, 71.2, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:51:54, 0, 0.000, 0, 0.000, 885, 71.3, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:52:09, 0, 0.000, 0, 0.000, 884, 71.2, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:52:24, 0, 0.000, 0, 0.000, 883, 71.2, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:52:39, 0, 0.000, 0, 0.000, 882, 71.1, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:52:54, 3378, 2.722, 3257, 2.625, 881, 71.0, 4095, 3.300, -121, -0.098, -68.629, *
2022-04-06 16:53:09, 4064, 3.275, 4061, 3.273, 880, 70.9, 4095, 3.300, -3, -0.002, 31.754, *
2022-04-06 16:53:24, 3985, 3.211, 4000, 3.223, 880, 70.9, 4095, 3.300, 15, 0.012, 47.067, *
2022-04-06 16:53:39, 1638, 1.320, 1605, 1.293, 877, 70.7, 4095, 3.300, -33, -0.027, 6.233, *
2022-04-06 16:53:54, 216, 0.174, 215, 0.173, 876, 70.6, 4095, 3.300, -1, -0.001, 33.456, *
2022-04-06 16:54:09, 9, 0.007, 10, 0.008, 872, 70.3, 4095, 3.300, 1, 0.001, 35.157, *
2022-04-06 16:54:24, 3030, 2.442, 3009, 2.425, 868, 69.9, 4095, 3.300, -21, -0.017, 16.442, *
2022-04-06 16:54:39, 0, 0.000, 0, 0.000, 865, 69.7, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:54:54, 4018, 3.238, 4022, 3.241, 861, 69.4, 4095, 3.300, 4, 0.003, 37.709, *
2022-04-06 16:55:09, 4065, 3.276, 4062, 3.273, 857, 69.1, 4095, 3.300, -3, -0.002, 31.754, *
2022-04-06 16:55:24, 3985, 3.211, 3983, 3.210, 853, 68.7, 4095, 3.300, -2, -0.002, 32.605, *
2022-04-06 16:55:39, 4046, 3.261, 4041, 3.256, 849, 68.4, 4095, 3.300, -5, -0.004, 30.053, *
2022-04-06 16:55:54, 3982, 3.209, 3987, 3.213, 848, 68.3, 4095, 3.300, 5, 0.004, 38.560, *
2022-04-06 16:56:09, 3966, 3.196, 3964, 3.194, 845, 68.1, 4095, 3.300, -2, -0.002, 32.605, *
2022-04-06 16:56:24, 3980, 3.207, 3985, 3.211, 840, 67.7, 4095, 3.300, 5, 0.004, 38.560, *
2022-04-06 16:56:39, 3999, 3.223, 4001, 3.224, 834, 67.2, 4095, 3.300, 2, 0.002, 36.008, *
2022-04-06 16:56:54, 4062, 3.273, 4060, 3.272, 831, 67.0, 4095, 3.300, -2, -0.002, 32.605, *
2022-04-06 16:57:09, 4013, 3.234, 4004, 3.227, 825, 66.5, 4095, 3.300, -9, -0.007, 26.650, *
2022-04-06 16:57:24, 4093, 3.298, 4092, 3.298, 821, 66.2, 4095, 3.300, -1, -0.001, 33.456, *
2022-04-06 16:57:39, 4064, 3.275, 4057, 3.269, 816, 65.8, 4095, 3.300, -7, -0.006, 28.351, *
2022-04-06 16:57:54, 4095, 3.300, 4095, 3.300, 814, 65.6, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:58:09, 4035, 3.252, 4037, 3.253, 806, 65.0, 4095, 3.300, 2, 0.002, 36.008, *
2022-04-06 16:58:24, 4095, 3.300, 4095, 3.300, 801, 64.5, 4095, 3.300, 0, 0.000, 34.306, *
2022-04-06 16:58:39, 4019, 3.239, 4018, 3.238, 796, 64.1, 4095, 3.300, -1, -0.001, 33.456, *
2022-04-06 16:58:52, 4035, 3.252, 4036, 3.252, 784, 63.2, 4084, 3.291, 1, 0.001, 35.157, *
2022-04-06 16:59:07, 4063, 3.274, 4062, 3.273, 783, 63.1, 4081, 3.289, -1, -0.001, 33.456, *
2022-04-06 16:59:22, 3569, 2.876, 3744, 3.017, 776, 62.5, 4039, 3.255, 175, 0.141, 183.179
